name,speed,acc,weight,multiplier
Mouse,54.5,2.9,2.3,1
Genghis Kar,56.1,1.65,2,1.6
RC Phink,49.5,2.28,1.6,1.2
Aquasonic,54.9,2.42,1.4,0.7
Matra XL,55.5,2.11,1.4,0.7
Candy Pebbles,54.9,1.83,1.3,0.8
Ultima,54.7,2.19,1.25,0.8
LA 54,51.7,2.52,1.2,0.8
Rc San,53.1,3.17,1,0.7
Baja Dash,49.6,2.52,2,0.9
Desert Storm,49.8,2.84,1.6,0.7
Ignit-9,51.7,2.29,1.5,0.9
Kyarus,52,3.15,1.3,1
Locker,51.9,2.98,1.4,0.8
Madness,49.7,3.08,2.3,0.8
Manfred,51.1,1.79,2.3,0.8
Moby Trick,51.3,3.45,1.8,0.8
Past Blast,50.7,2.24,1.55,0.8
Phantum,54.9,1.87,1.6,0.8
Road King,49.9,3.13,2.8,0.9
Zaffer,54.7,1.86,1.3,1
Starway,52,2.79,1.5,0.7
