name,speed,acc,weight,multiplier,folder_name,author,stock
Adeon,59.1,2.97,1.2,0.7,adeon,Acclaim Studios London,TRUE
Dempsey,60.0,2.89,1.7,0.7,jgp_dempsey,TTDriver,FALSE
Mythrax,59.0,3.92,1.45,0.7,mythrax,MightyCucumber,FALSE
Touga,65.7,3.08,2,0.7,touga,MightyCucumber,FALSE
JG-7,59,2.72,1.2,0.8,jg1jg7,Acclaim Studios London,TRUE
Zipper,60.7,2.82,1.4,0.8,tc1,Acclaim Studios London,TRUE
Cobra Max,62.8,2.78,2.8,0.8,lib17b_cobra,Norfair,FALSE
Iron-Z,61.1,2.15,1.45,0.8,ironz,Trixed,FALSE
Runner 2000,59.8,3.18,1.32,0.8,nrf_runner,Norfair,FALSE
Speed Balancer,62.1,3.22,1.8,0.8,speedbalancer,TTDriver,FALSE
Bumpstep,60.8,2.42,2.8,0.9,pm_bumpstep,Paperman,FALSE
Mateater,64.9,2.95,2.75,0.9,mateater,FZG (Ziggy),FALSE
Max Attack,58.4,2.55,2.0,0.9,nrf_max,Norfair,FALSE
Maxam RS,61.1,2.23,1.7,0.9,maxamrs,BloodBTF,FALSE
Pandemonium,60.6,3.47,2.0,0.9,fd159pand,Xarc,FALSE
Ravel,59.2,3.44,2.1,0.9,nryu_ravel,yun,FALSE
Sasquatch,61.4,2.47,3,0.9,sasquatch,kiwi,FALSE
RG1,57.9,2.82,1.4,1.0,tc7,Acclaim Studios London,TRUE
Nimiarc,60.1,5.74,1.9,1.0,nimi,Kipy,FALSE
Pemto,65.7,2.58,1.5,1.0,pemto,kiwi,FALSE
Skyflare,56.9,4.96,1.0,1.0,fd168skyflare,Xarc,FALSE
Fat Agnus,62.7,2.5,3.0,1.1,fatagnus,kiwi,FALSE
Talon Rider,62.8,1.65,1.5,1.1,fd172talon,Xarc,FALSE
Trackstar,60.1,3.07,1.7,1.1,gtc_trackstar,Ghosterino,FALSE
Trundle Buster,61.5,2.92,4,1.1,nm_trundle,Paperman,FALSE
Ballista,62.5,4.18,2.0,1.2,ballista,TTDriver,FALSE
Lone Rider,61.2,2.88,1.8,1.5,gtc_rider,Ghosterino,FALSE
Pest Control,66.6,1.66,2,2.3,tc3,Acclaim Studios London,TRUE
Pole Poz,60.5,2.53,1.7,2.3,fone,Acclaim Studios London,TRUE
Roadkill,64.4,3.53,1.25,2.5,roadkill,Zeino,FALSE
Rotor,65.3,2.01,3,2.9,rotor,Acclaim Studios London,TRUE
RV Loco,63.6,1.98,2.25,3.2,jg3loco,Acclaim Studios London,TRUE
