name,speed,acc,weight,multiplier,folder_name,author,stock
Endo,71.2,4.75,2.7,0.7,nrf_endo,Norfair,FALSE
Phantera ART,72.9,3.59,1.75,0.7,phanteraart,FZG (Ziggy),FALSE
Calcure,71.2,2.87,2,0.8,phim_calcure,Phimeek,FALSE
Commandine,65.1,3.44,2,0.8,fd101command,Xarc,FALSE
DFV-72,75.0,3.07,1.7,0.8,dfv72,TTDriver,FALSE
Gungnir,67.9,3.46,3.3,0.8,gungnir,TTDriver,FALSE
La Rossa,73,4.14,2,0.8,fd94rossa,Xarc,FALSE
Starmac,68.7,3.54,1.8,0.8,starmac,MightyCucumber,FALSE
XM250,70.4,3.13,1.4,0.8,xm250,Norfair,FALSE
Alter,70.4,3.02,2.5,0.9,alter,TTDriver,FALSE
Daemmon,74.6,3.86,1.85,0.9,daemmon,MightyCucumber,FALSE
Elyta,68.4,3.32,2.1,0.9,fd143elyta,Xarc,FALSE
Hoshino,75.7,3.24,2,0.9,hoshino,burner94,FALSE
Nahesa,71.4,3.62,1.6,0.9,yun_nahesa,yun,FALSE
Nain,79.4,2.65,2.25,0.9,nain,Trixed,FALSE
Nakajima,76.2,3.2,1.25,0.9,nakajima,burner94,FALSE
Sideswipe,72.0,3.88,2.0,0.9,sideswipe,Gotolei,FALSE
Sterling F77,71.0,3.92,1.4,0.9,phim_f77,Phimeek,FALSE
FLIR,71.4,5.66,2,1.0,nrf_flir,Norfair,FALSE
King Kaiju,72.7,4.4,1.75,1.0,tx11kaiju,Trixed,FALSE
King Moloko,77.3,3.04,2.7,1.0,kingmoloko,kiwi,FALSE
Megalodon XL,77.3,3.74,2.2,1.0,megalodonxl,Norfair,FALSE
Moderata,78.6,1.72,1.6,1.0,fd_s23,Xarc,FALSE
Nyx,73.6,3.52,1.6,1.0,lib8a_nyx,Norfair,FALSE
Saeger,71.5,5.8,2,1.0,saeger,Skarma,FALSE
Identity X,78.3,3.38,2.5,1.1,fd95x,Xarc,FALSE
Rinne,80.6,3.69,1.9,1.1,rinne,Xarc,FALSE
RV GP,71.0,3.9,1.4,1.2,rvgp,TTDriver,FALSE
Napalm,76.1,5.43,2,1.3,fd_s21,Xarc,FALSE
BLK,75.0,3.82,1.9,1.4,fd152blk,Xarc,FALSE
Ilmenite,75.0,3.94,3.5,1.4,yun_ilmenite,yun,FALSE
Oblitenitro,83.5,2.38,3.5,1.5,oblitenitro,FZG (Ziggy),FALSE
