name,speed,acc,weight,multiplier
Panga,69.4,2.73,2.5,1.5
Humma,63.8,3.45,2,0.9
Toyeca,64.5,3.2,2,0.7
Outlaw,67.6,2.72,2,0.7
Cougar,69.3,2.36,2,1.3
Patriot,73.6,5.03,1.9,1.1
Steezy,65.8,3.07,1.7,0.9
SNW 35,65.6,4.32,1.5,0.7
Fulon X,62.2,2.05,1.2,4
AMW,67.8,2.3,1,2.5
Abomin8r,65.7,3.12,2.5,0.8
Cerberus,67.8,2.71,1.95,0.8
Drome Champ,65.4,3.78,1.5,0.7
Fire-Starter,65.4,3.68,3,1.2
Giro-5,64.6,3.78,1.7,1.3
Hydro Flame,69.1,3.24,2,0.7
Mean Streak,70.6,2.77,1.8,0.9
Mid-Musc,66.6,3.01,2,0.7
Power Loader,66.8,2.54,4,0.7
Power Station,61.3,4.71,1.8,1.5
Skyraptor,67.2,2.68,1.62,0.8
Wildstar,66.1,3.6,1,0.9
