name,speed,acc,weight,multiplier
Rotor,64.9,2.01,3,4
RV Loco,63.3,1.97,2.25,4
Touga,65.5,3.08,2,0.9
Pest Control,66.1,1.66,2,1.8
Pole Poz,60.2,2.53,1.7,1.8
Zipper,60.5,2.82,1.4,0.8
RG1,57.7,2.81,1.4,1
Adeon,58.9,2.97,1.2,0.7
JG-7,58.8,2.72,1.2,0.8
Big-Tory,61.1,3.14,3,1.8
Aeromaster,61.7,2.98,1.6,0.7
Ballista,62.5,4.17,2,1
Blazar,58.9,3.03,1.6,1
Cobra Max,62.5,2.28,2.8,0.8
Dark Angel,60,3.2,1.5,0.7
Dragoon,60.9,2.26,2.2,0.7
Mambra,57.5,3.76,1.6,0.8
Runner 2000,59.6,3.18,1.32,0.9
Trundle Buster,61.3,2.91,4,1
TW F1,56,2.79,1,1.2
Winch,60.7,2.1,4,0.9
Vex Wing,59,2.76,1.4,1
