name,short_name,difficulty,length,folder_name,author,stock,lego,average_lap_time
Airport 1,AP1,2,612,fdt16airport1,Xarc,FALSE,FALSE,32
Aqueduct,AQU,2,426,aqueduct,hilarious6,FALSE,FALSE,31
Botanical Garden,BG,0,323,garden1,Acclaim Studios London,TRUE,FALSE,22
Botanical Garden EX,BGX,2,807,fdt9xgarden,Xarc,FALSE,FALSE,45
Bricked,BRI,-1,435,sn_bricked,sinaosal,FALSE,TRUE,35
Calaboq,CBQ,-1,512,calaboq,Gforce,FALSE,TRUE,33
Casino RV,CAS,1,635,casinorv,CapitaineSZM,FALSE,FALSE,40
Castle 1,CT1,3,795,fdt21castle1,Xarc,FALSE,FALSE,40
Castle 2,CT2,3,715,fdt22castle2,Xarc,FALSE,FALSE,40
Crystal caves,CRY,2,477,crystalcaves,Killer Wheels,FALSE,FALSE,34
Desolate District 1,DD1,2,627,district,RV_Pure,FALSE,FALSE,42
Downtown 1,DT1,1,800,dtown1,G_J,FALSE,FALSE,42
Downtown 2,DT2,3,911,dtown2,G_J,FALSE,FALSE,50
Elementary 1,E1,0,374,elementary1,G_J,FALSE,FALSE,25
Elementary 2,E2,0,402,elementary2,G_J,FALSE,FALSE,25
Fairground 1,FG1,1,363,fair1,G_J,FALSE,FALSE,24
Fairground 2,FG2,3,766,fair2,G_J,FALSE,FALSE,45
Forest Mansion 2 (RVA),FM2,1,478,ccastle2_rva,Chris Johannsen,FALSE,FALSE,33
Galaxy World 1,GW1,3,710,galaxy1,G_J,FALSE,FALSE,45
Galaxy World 2,GW2,1,679,galaxy2,G_J,FALSE,FALSE,40
Game Room 2,GR2,2,635,fdt24arcade2,Xarc,FALSE,FALSE,35
Genghis Kastle,GK,1,626,kastle,kiwi,FALSE,FALSE,35
Ghost Town 1,GT1,1,324,wild_west1,Acclaim Studios London,TRUE,FALSE,22
Ghost Town 2,GT2,3,490,wild_west2,Acclaim Studios London,TRUE,FALSE,30
Grisville,GV,3,648,ghetto,Allan1,FALSE,FALSE,44
Helios-Lunar (RVA),HL,-1,655,helios-lunar,Human,FALSE,FALSE,40
Holiday Camp: California Edition,HC,-1,1170,hcampcal,Marv,FALSE,FALSE,76
Home 2,HO2,2,489,home2,G_J,FALSE,FALSE,27
Hospital 1,HP1,2,623,hospital1,G_J,FALSE,FALSE,35
Hospital 2,HP2,2,399,hospital2,G_J,FALSE,FALSE,26
Hull Breach 3000 (RVA),HB3,3,508,breach3000_rva,Gorgonzola,FALSE,FALSE,32
Images of Giza 26,I26,1,483,images26,Skitch,FALSE,FALSE,35
Jailhouse Rock,JR,-1,729,jailhouse,Human,FALSE,FALSE,45
Kadish Sprint,KS,2,814,kadishs,Dyspro50,FALSE,FALSE,56
Market Mayhem,MM,1,448,marketmayhem,BloodBTF,FALSE,FALSE,26
Metro-Volt,MV,-1,649,metrovolt,Human,FALSE,FALSE,42
Moon Dawn,MD,3,1418,dome3,Allan1,FALSE,FALSE,92
Motel in the Hood,MIH,-1,325,motelinhood,MirkoGT97,FALSE,FALSE,25
Museum 1,M1,2,668,muse1,Acclaim Studios London,TRUE,FALSE,45
Museum 2,M2,0,600,muse2,Acclaim Studios London,TRUE,FALSE,32
Museum 3,M3,0,539,muse3,hilaire9,FALSE,FALSE,38
Museum EX,MX,3,970,fdt13xmuse,Xarc,FALSE,FALSE,55
Museum Unleashed,MUN,2,1295,museun_rva,maxi,FALSE,FALSE,75
Office 1 (1.0),O1,1,430,office1_1.0,L17,FALSE,FALSE,30
PetroVolt,PV,3,948,petrol,Gabor,FALSE,FALSE,50
Port Limano 2,PL2,2,616,portlimano2,benderfan3124,FALSE,FALSE,35
Port Limano EX,PLX,3,819,portlimanoex,benderfan3124,FALSE,FALSE,43
Quake!,Q!,3,843,quake,Gabor,FALSE,FALSE,47
Radio Kootwijk,RK,1,1421,radiokootwijk,motorhand,FALSE,FALSE,61
Ranch,RAN,2,950,ranch,Marv,FALSE,FALSE,61
Rooftop Chase: Redux,RCR,-1,598,roofchaseredux,r6te,FALSE,FALSE,40
Rooftops,RT,1,588,roof,Acclaim Studios London,TRUE,FALSE,39
Rooftops 1,RT1,3,717,roof1,G_J,FALSE,FALSE,45
RV Temple (RVA),RVT,-1,1116,rvt_rva,Antimorph,FALSE,FALSE,75
s4,S4,0,405,s4,Skitch,FALSE,FALSE,25
Sakura,SKR,-1,752,sakura,Human,FALSE,FALSE,45
Santorini,SAN,0,500,santorini,Alexander,FALSE,FALSE,28
School's Out! 1,SO1,1,495,schoolslite,kiwi,FALSE,FALSE,30
